,,,,,,
Description,Parent Topic,HOCS Team name,HOCS Team name in full,HOCS Unit Name,HOCS Unit name in full,Howard - 18 Oct
Sex offender register pre 1997,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Campaign: Consider designating Roosh V’s organisation (Return of Kings) a Proscribed Group,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Forced Marriages,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Applications for DBS checks from abroad,DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Previous identity and criminal record checks,DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Taxi drivers and DBS checks,DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - DBS checks for voluntary workers,DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Providing criminal record certificates to the applicant only / 'Single Certificate',DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Filtering certain convictions and cautions from criminal record certificates,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - Criminal record checks for the self-employed / basic disclosures,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
DBS Policy - DBS processes and types of checks,DBS ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
SIA Policy - Proposed licensing of private investigators,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
End Violence Against Women Campaign,Campaigns ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
New domestic abuse law,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Child-to-parent violence,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Domestic Violence – HMIC Review,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Domestic Violence – Psychological abuse,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Violence against Women and Girls.,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Clare's Law,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Female Genital Mutilation (FGM) - Leyla Hussein campaign & Channel 4 Dispatches programme,Campaigns ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Police role in mental health crisis care,Police Equipment ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Stalking and Harassment,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Sex offender: RvWiles,Safeguarding ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Review of period on sex offenders register - solicitor letter,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Relationship between alcohol and sexual assault (including rape),Drugs & Alcohol ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Raising awareness of Sexual Violence and Abuse,Victim Support ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Support for victims of sexual violence,Victim Support ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Rape Crisis (EDM 1157),Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Cyber Stalking and Harassment.,Crime - Other ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Sex offender register pre 1997,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Prostitution: Brothels.,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Disregarding certain historic convictions for gay sex (buggery and gross indecency),Historic Convictions ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Domestic Violence Protection Orders.,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Funding for Domestic Violence.,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Prostitution Nordic approach.,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Sex Offender Register (Notification of Requirement).,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Travelling sex offenders.,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Managing Sex Offenders - Civil Orders.,Sexual Offences (inc SO Register) ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Male Victims of Domestic Violence.,Crime - Domestic Violence ,PPU,Public Protection Unit,CPFG SVD,"Crime, Policing and Fire Group Safeguarding and Vulnerability Directorate",
Police force mergers,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Call for remedial measures for South Yorkshire Police,Police ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police and Crime Commissioners – core brief,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police and Crime Commissioners – complaints,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Policing in 2020,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Emergency services collaboration/integration,Emergency Services ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Accessibility of Police,Police ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Implementation of the Police Reform Programme,Police ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
General questions on Police Reform Programme,Police Equipment ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police and Crime Commissioners,Police ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Policing Governance,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
ACPO - Funding and future role and current Government position on ACPO,Police Reform ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Elected Police Commissioners/Police Authorities/Policing Governance,Police ,PSRU,Police Strategy & Reform Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Awards for family of public servants killed on duty or by terrorism / Victoria cross / George Cross,Miscellaneous ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Equality Diversity issues/ Police Diversity Staff Support Associations inc National Black Police Association (NBPA)/ Positive Action & Discrimination,Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Policy, Police , Promotions Examinations Board & Police Promotions Review Project, Promotion regulators, Board secretariat, financial and general matters. National Police Promotion Framework OSPRE exams",Police Records (inc PNC) ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Long Service and Good Conduct Medal,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Officers: in-service fitness testing and Job Related Fitness Test (JRFT),Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"European Police College Network, International training, CEPOL Secretariat",Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Winsor review of remuneration and conditions of service - POLICE OFFICERS,Policing and Crime Bill ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police pensions. No standard letter required.,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Sentencing for murderers of Police Officers,Criminal Justice ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Racism in the police - includes Stephen Lawrence  & Macpherson Inquiry,Specific Cases ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Remuneration Review Body (PRRB) & Police Negotiating Board (PNB),Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Police Federation and Police staff associations (PFEW,PSAEW and CPOSA)",Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police-Strategic Policing Requirement(SPR),Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Officers- LIMITED DUTIES (formerly known as Restricted Duties),Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police pay body,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Queen Elizabeth II Diamond Jubilee Medal,Police Pay & Conditions,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Stoppage of police widow/widower pensions,Police Records (inc PNC) ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
New Police Pension Scheme 2015,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
MILNE V GAD Commutation 2015,Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
"Honours, Awards, Gallantry medals to police officers. Queens Silver, Golden and Diamond Jubilee medals",Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police Pay & Reward,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police – national policy leads,Police Pay & Conditions,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
PSP,Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Age Discrimination in the Police Pension 2015 CARE Scheme.,Police Pay & Conditions,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Compulsory Severance – Police officers,Police Pay & Conditions,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Police recruitment including: Assessment/Eligibility/Nationality/Medical/Eyesight,Police Complaints & Misconduct ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
Special Constables / civilian volunteers in the police service / Ferrers Award,Police ,PWPU,Police Workforce and Professionalism Unit,CPFG PFD,"Crime, Policing and Fire Group Policing and Fire Directorate",
